id,name,name_jap,desc,desc_jap
0,Flowered Collar,花がらの首輪,A small collar with a flower%rprint pattern.,花がらの小さな首輪
1,Soft Brush,柔らかいブラシ,A soft brush for fur.,柔らかな毛のブラシ
2,Glow Bracelet,ひかる輪っか,Something to wear at evening%revents.,夜店で売られているあれ
3,Cicada Skin,せみのぬけがら,The cast-off skin from a%rmolting cicada.,硬くて軽い抜け殻
4,Shiny Acorn,つやつやのどんぐり,An acorn with a shiny shell.,つやつやで綺麗などんぐり
5,Seashell Earring,貝がらのイヤリング,A lovely drop earring with%ra small seashell.,綺麗な貝がらに%r小さいビーズがつけられている
6,Aluminum Pins,缶バッヂ,They make rattling noises%rwhen you shake them.,当たるとカチャカチャと音がする
7,Damp Matchbox,湿気ったマッチ,The matches are too damp%rto light.,湿気ってしまって火はつかない
8,Random Seeds,なにかの種,Random seeds.,なんの種かわからない
9,Teaser Toy Tip,猫じゃらしの先っぽ,A trophy from a hard-fought%rbattle?,今まで戦った戦利品？
10,Raffle Ticket,くじびき券,A ticket for a store raffle.,どこかの商店街のくじびき券
11,Flower Bookmark,押し花のしおり,A bookmark made from a%rpurple pressed flower.,紫色の花がついたしおり
12,Small Mittens,小さな軍手,Small、 handmade mittens.,手作りの小さな軍手
13,Dirty Toy Animal,汚れたぬいぐるみ,A gently used small stuffed%rpenguin.,小さなペンギン(?)のぬいぐるみ
14,Fish-stick Board,かまぼこの板,A small、 pungent board that%ronce held fish sticks.,ほのかにかまぼこの香りがする板
15,Hourglass,砂時計,An hourglass filled with%rblue sand.,青い砂の入った砂時計
16,Used Hand Warmer,使い捨てカイロ,A disposable hand warmer%rthat's already been used.,使い終わってカッチカチ%rになっているカイロ
17,Silent Bell,ならない鈴,A small bell that does%rnot ring.,ならないように細工された鈴
18,Toy Mirror,オモチャの手鏡,A small、 sturdy mirror.,丈夫でちいさな手鏡
19,Colored Candles,カラーロウソク,A colorful assortment%rof candles.,色付きのカラフルなロウソク
20,Scuffed Dime,古い十円玉,A coin with grooves around%rthe edge.,側面がギザギザしている
21,Six-sided Die,サイコロ,A normal six-sided die.%rGood for curing indecision.,普通の６面サイコロ%rこれで迷うことはない
22,Signed Baseball,サインボール,A baseball with someone's%rautograph.,サインらしき文字がある%r野球ボール
23,Feathered Hat,羽根付き帽子,An attractive hat decorated%rwith feathers.,水鳥の羽根があしらわれた%r綺麗な小さめの帽子
24,Pretty Stones,綺麗な石,Beautiful、 clear stones of%runknown value.,濁りのない綺麗な石%r価値は不明
25,Dog Tag,銀のタグ,A silver tag with writing%rembossed on it.,何も書かれていない銀色のタグ
26,Mysterious Stone,不思議な形の石,A uniquely shaped polished%rstone that radiates power.,なんだかとてもパワーを感じる%r特徴的な形の石細工
27,Gold Coin,小判,A shiny gold coin.,キラキラと眩しい小判
28,Antique Compass,年代物のコンパス,A continually spinning%rcompass.,なかなか止まらないコンパス
29,Hand-drawn Ticket,手作りの切符,A ticket drawn by a child、%rbut too smudged to read.,子どもが作ったような切符%rにじんで字が読めない
30,Fish Jerky,かつお節,Piece of dried fish covered%rin claw marks.,爪でとがれたような跡がある%rとてもいい香りがする
31,Odd Wooden Charm,不明の通行手形,A wood tag used for border%rcrossings in ancient times.,綺麗な木目の通行手形%rどこの関所かわからない
32,Novelty Sunglasses,大きいサングラス,Oversized sunglasses to%ravoid more than UV light.,日光以外も遮りたい時の%rおおきなサングラス
33,Custom Rolling Pin,専用の伸ばし棒,A rolling pin custom made%rto fit cat-sized paws.,ねこの手にフィットする%rオーダーメイドの伸ばし棒
34,Bird Feather,鳥の羽,A beautiful osprey feather.,大きくて美しい%r猛きん類の羽根
35,Clean Handkerchief,清潔なハンカチ,A freshly laundered%rhandkerchief.,洗いたての綺麗な%r小さめのハンカチ
36,Bendy Straw,曲がったストロー,A plastic straw bent into%ra silly shape.,プラスチックのストロー%r特徴的な形をしている
37,Eyeglass Lens,眼鏡のレンズ,A lens from a pair of %rsoda-bottle glasses.,眼鏡のレンズ部分%rかなり度が強い
38,Child's Wristband,子ども用の腕章,A fabric wristband from an%ramusement park.,テカテカしたビニールの腕章%r安全ピンで止めるタイプ
39,Damaged Spoon,変わったスプーン,The tip is so chipped it%rlooks more like a spork.,スプーンの先が割れていて%rフォークのようにも使える
40,Elegant Paint Brush,上質な筆,A new paint brush with a%rfine point.,新品の先の尖った筆%r上質な毛でつくられている
41,Worn Postcard,よれよれのはがき,Whatever was written is too%rsmudged to read now.,何か書かれていたみたいだけど%rにじんで読めない
42,Warped Container,しまらないタッパー,A plastic container covered%rwith bite marks.,噛みあとが沢山あるタッパー%r綺麗に洗われている
43,Elegant Staff,変わった杖,A staff with a complex%rdesign.,変わった形の杖%r持つと不思議な気持ちになる
44,Coffee Cup,コーヒーカップ,A dainty coffee cup with%rcute designs.,小ぶりで綺麗なコーヒーカップ%r口当たりも柔らかい
45,Bottle Cap,ジュース瓶の王冠,A bottle cap with a thin%rpiece of cork inside.,見たことがない柄の王冠%r裏に薄いコルクがついている
46,Gift-wrap Ribbon,プレゼントリボン,A slightly tangled ribbon%ronce used to wrap presents.,プレゼント箱に結ばれていた%rちょっとヨレたリボン
47,Lucky Coin,アンティークコイン,An old coin with the same%rpattern on both sides.,綺麗な模様が彫り込まれた古いコイン%r裏も表も同じ模様になっている
48,Soffted Hawk,黄色いぬいぐるみ,--.,どこかで見たことがあるような%r黄色い鳥のぬいぐるみ
49,Thaw-Proof Snowman,溶けないゆきだるま,This melt-resistant snowman is%rforever cold to the touch.,さわると冷たいのに%r全く溶ける様子のない雪だるま
50,Tiny Toothbrush,小さな歯ブラシ,A special toothbrush for cats.%rIt looks like it's been used.,ねこ用の小さい歯ブラシ%r意外としっかり使われている
51,Puzzle Piece,パズルピース,A piece from a jigsaw puzzle.,ジグソーパズルのピース
52,Poetry Book,お気に入りの詩集,An anthology of poems filled with%rlovely cat illustrations.,書かれている内容はわからないけど%r綺麗なねこの挿絵がある詩集
53,Silver Pocket Watch,銀の懐中時計,An antique watch that still%rkeeps time when you wind it.,鍵巻き式の懐中時計%r年代物だけど正確に時を刻む
54,Wilted Plant Bulb,しなびた球根,A shriveled plant bulb with%rtraces of dirt on it.,表面に土の残る%rしおしおの球根
55,Ribbon Hair Band,リボンのヘアゴム,A pretty hair band adorned with%ra pink dotted ribbon.,ドット柄のリボンのヘアゴム
56,Old Map,古びた地図,A faded map printed on a parchment.,色あせた羊皮紙の地図
57,Leather Choker,革のチョーカー,A leather choker with a broken locket%rthat won't open.,ロケットがついた革製チョーカー%r壊れて開かない
58,Cotton Scarf,綿のスカーフ,A soft scarf. The back is embroidered%rwith some sort of words.,肌触りのいい綿のスカーフ%r裏に文字のような刺繍がある
59,Paper Shuriken,折り紙の手裏剣,A paper shuriken carefully folded%rusing traditional Japanese paper.,和紙で丁寧に折られた手裏剣
60,Stiff Paint,カチカチの絵の具,It's been unused for so long that%r it's dried up and frozen stiff.,長い時間しまわれて%rカチカチになってしまった絵の具
61,Forgotten Key,忘れられたカギ,A small toy key.%rNo one knows where it goes to.,オモチャのカギ%rどこのものかわからない
62,Small Glass Bottle,ガラスの小瓶,It contains soft、 fine powder.,柔らかく細かい粉末が入っている
63,Game Pieces,ゲームの駒,Pieces of various board games.%rSeems rather new and not used much.,いろんなボードゲームの駒%rどれもあまり使い込まれていない
64,Handmade Otedama,手作りのお手玉,A toy made out of pieces of fabric sewn%rtogether.It looks worn-out.,端切れで縫われたお手玉%rほつれてクタクタになっている
65,Old Roll Film,忘れられたフィルム,Seems already worn-out by sunlight...%rthe film might not develop.,表面すら日焼けしてしまったフィルム%rおそらく現像はできないだろう
66,Sea Glass,角の取れたガラス片,Pieces of glass found on beaches.%rThe shapes are uneven but has a nice%rtouch.,波打ち際などで見つかるガラス片%r不揃いだけど触り心地は良い